2026-06-05 11:04:44.461 | 127.0.0.1:62459 | GET http://192.168.1.5:5000/ads/house-rent-popup.js | Status:403 | Cache:MISS | Size:54B | Time:0ms | User-Agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:151.0) Gecko/20100101 Firefox/151.0
2026-06-05 11:04:44.463 | 127.0.0.1:62460 | GET http://192.168.1.5:5000/static/js/app.js | Status:200 | Cache:HIT | Size:2335B | Time:0ms | User-Agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:151.0) Gecko/20100101 Firefox/151.0
2026-06-05 11:04:44.485 | 127.0.0.1:62461 | GET http://192.168.1.5:5000/static/uploads/houses/default-house.svg | Status:200 | Cache:HIT | Size:1089B | Time:0ms | User-Agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:151.0) Gecko/20100101 Firefox/151.0
2026-06-05 11:04:44.488 | 127.0.0.1:62462 | GET http://192.168.1.5:5000/static/uploads/houses/demo-house-06.jpg | Status:200 | Cache:HIT | Size:180371B | Time:0ms | User-Agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:151.0) Gecko/20100101 Firefox/151.0
2026-06-05 11:04:44.491 | 127.0.0.1:62463 | GET http://192.168.1.5:5000/static/uploads/houses/demo-house-04.jpg | Status:200 | Cache:HIT | Size:108872B | Time:1ms | User-Agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:151.0) Gecko/20100101 Firefox/151.0
2026-06-05 11:04:44.494 | 127.0.0.1:62464 | GET http://192.168.1.5:5000/static/uploads/houses/demo-house-03.jpg | Status:200 | Cache:HIT | Size:128527B | Time:1ms | User-Agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:151.0) Gecko/20100101 Firefox/151.0
2026-06-05 11:04:44.497 | 127.0.0.1:62465 | GET http://192.168.1.5:5000/static/uploads/houses/demo-house-05.jpg | Status:200 | Cache:HIT | Size:143715B | Time:1ms | User-Agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:151.0) Gecko/20100101 Firefox/151.0
2026-06-05 11:04:44.500 | 127.0.0.1:62466 | GET http://192.168.1.5:5000/static/uploads/houses/demo-house-02.jpg | Status:200 | Cache:HIT | Size:269307B | Time:1ms | User-Agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:151.0) Gecko/20100101 Firefox/151.0
2026-06-05 11:04:44.502 | 127.0.0.1:62467 | GET http://192.168.1.5:5000/static/uploads/houses/demo-house-01.jpg | Status:200 | Cache:HIT | Size:131104B | Time:0ms | User-Agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:151.0) Gecko/20100101 Firefox/151.0
2026-06-05 11:04:44.552 | 127.0.0.1:62468 | GET http://192.168.1.5:5000/favicon.ico | Status:404 | Cache:MISS | Size:1356B | Time:35ms | User-Agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:151.0) Gecko/20100101 Firefox/151.0
2026-06-05 11:04:51.538 | 127.0.0.1:62471 | GET http://192.168.1.5:5000/auth/logout | Status:302 | Cache:MISS | Size:189B | Time:34ms | User-Agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:151.0) Gecko/20100101 Firefox/151.0
2026-06-05 11:04:51.541 | 127.0.0.1:62473 | GET http://detectportal.firefox.com/canonical.html | Status:200 | Cache:HIT | Size:90B | Time:0ms | User-Agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:151.0) Gecko/20100101 Firefox/151.0
2026-06-05 11:04:51.544 | 127.0.0.1:62474 | GET http://detectportal.firefox.com/success.txt?ipv4 | Status:200 | Cache:HIT | Size:8B | Time:0ms | User-Agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:151.0) Gecko/20100101 Firefox/151.0
2026-06-05 11:04:51.547 | 127.0.0.1:62475 | GET http://detectportal.firefox.com/success.txt?ipv6 | Status:200 | Cache:HIT | Size:8B | Time:0ms | User-Agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:151.0) Gecko/20100101 Firefox/151.0
2026-06-05 11:04:51.585 | 127.0.0.1:62476 | GET http://192.168.1.5:5000/ | Status:200 | Cache:MISS | Size:7714B | Time:36ms | User-Agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:151.0) Gecko/20100101 Firefox/151.0
2026-06-05 11:04:51.610 | 127.0.0.1:62478 | GET http://192.168.1.5:5000/static/css/app.css | Status:200 | Cache:HIT | Size:27213B | Time:0ms | User-Agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:151.0) Gecko/20100101 Firefox/151.0
2026-06-05 11:04:51.612 | 127.0.0.1:62479 | GET http://192.168.1.5:5000/ads/house-rent-popup.js | Status:403 | Cache:MISS | Size:54B | Time:0ms | User-Agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:151.0) Gecko/20100101 Firefox/151.0
2026-06-05 11:04:51.615 | 127.0.0.1:62480 | GET http://192.168.1.5:5000/static/js/app.js | Status:200 | Cache:HIT | Size:2335B | Time:0ms | User-Agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:151.0) Gecko/20100101 Firefox/151.0
2026-06-05 11:04:51.639 | 127.0.0.1:62481 | GET http://192.168.1.5:5000/static/uploads/houses/default-house.svg | Status:200 | Cache:HIT | Size:1089B | Time:0ms | User-Agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:151.0) Gecko/20100101 Firefox/151.0
2026-06-05 11:04:51.643 | 127.0.0.1:62482 | GET http://192.168.1.5:5000/static/uploads/houses/demo-house-01.jpg | Status:200 | Cache:HIT | Size:131104B | Time:1ms | User-Agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:151.0) Gecko/20100101 Firefox/151.0
2026-06-05 11:04:51.647 | 127.0.0.1:62483 | GET http://192.168.1.5:5000/static/uploads/houses/demo-house-04.jpg | Status:200 | Cache:HIT | Size:108872B | Time:1ms | User-Agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:151.0) Gecko/20100101 Firefox/151.0
2026-06-05 11:04:51.651 | 127.0.0.1:62484 | GET http://192.168.1.5:5000/static/uploads/houses/demo-house-05.jpg | Status:200 | Cache:HIT | Size:143715B | Time:1ms | User-Agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:151.0) Gecko/20100101 Firefox/151.0
2026-06-05 11:04:51.655 | 127.0.0.1:62485 | GET http://192.168.1.5:5000/static/uploads/houses/demo-house-03.jpg | Status:200 | Cache:HIT | Size:128527B | Time:1ms | User-Agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:151.0) Gecko/20100101 Firefox/151.0
2026-06-05 11:04:51.658 | 127.0.0.1:62486 | GET http://192.168.1.5:5000/static/uploads/houses/demo-house-06.jpg | Status:200 | Cache:HIT | Size:180371B | Time:1ms | User-Agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:151.0) Gecko/20100101 Firefox/151.0
2026-06-05 11:04:51.662 | 127.0.0.1:62487 | GET http://192.168.1.5:5000/static/uploads/houses/demo-house-02.jpg | Status:200 | Cache:HIT | Size:269307B | Time:1ms | User-Agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:151.0) Gecko/20100101 Firefox/151.0
2026-06-05 11:04:51.705 | 127.0.0.1:62488 | GET http://192.168.1.5:5000/favicon.ico | Status:404 | Cache:MISS | Size:1285B | Time:22ms | User-Agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:151.0) Gecko/20100101 Firefox/151.0
2026-06-05 11:04:52.654 | 127.0.0.1:62490 | GET http://192.168.1.5:5000/auth/login | Status:200 | Cache:MISS | Size:2188B | Time:18ms | User-Agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:151.0) Gecko/20100101 Firefox/151.0
2026-06-05 11:04:52.686 | 127.0.0.1:62492 | GET http://192.168.1.5:5000/static/css/app.css | Status:200 | Cache:HIT | Size:27213B | Time:0ms | User-Agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:151.0) Gecko/20100101 Firefox/151.0
2026-06-05 11:04:52.689 | 127.0.0.1:62493 | GET http://192.168.1.5:5000/ads/house-rent-popup.js | Status:403 | Cache:MISS | Size:54B | Time:0ms | User-Agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:151.0) Gecko/20100101 Firefox/151.0
2026-06-05 11:04:52.690 | 127.0.0.1:62494 | GET http://192.168.1.5:5000/static/js/app.js | Status:200 | Cache:HIT | Size:2335B | Time:0ms | User-Agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:151.0) Gecko/20100101 Firefox/151.0
2026-06-05 11:04:54.243 | 127.0.0.1:62495 | POST http://192.168.1.5:5000/auth/login | Status:302 | Cache:MISS | Size:189B | Time:123ms | User-Agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:151.0) Gecko/20100101 Firefox/151.0
2026-06-05 11:04:54.249 | 127.0.0.1:62497 | GET http://detectportal.firefox.com/canonical.html | Status:200 | Cache:HIT | Size:90B | Time:0ms | User-Agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:151.0) Gecko/20100101 Firefox/151.0
2026-06-05 11:04:54.252 | 127.0.0.1:62498 | GET http://detectportal.firefox.com/success.txt?ipv4 | Status:200 | Cache:HIT | Size:8B | Time:0ms | User-Agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:151.0) Gecko/20100101 Firefox/151.0
2026-06-05 11:04:54.254 | 127.0.0.1:62499 | GET http://detectportal.firefox.com/success.txt?ipv6 | Status:200 | Cache:HIT | Size:8B | Time:0ms | User-Agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:151.0) Gecko/20100101 Firefox/151.0
2026-06-05 11:04:54.301 | 127.0.0.1:62500 | GET http://192.168.1.5:5000/ | Status:200 | Cache:MISS | Size:7553B | Time:39ms | User-Agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:151.0) Gecko/20100101 Firefox/151.0
2026-06-05 11:04:54.379 | 127.0.0.1:62502 | GET http://192.168.1.5:5000/static/css/app.css | Status:200 | Cache:HIT | Size:27213B | Time:0ms | User-Agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:151.0) Gecko/20100101 Firefox/151.0
2026-06-05 11:04:54.382 | 127.0.0.1:62503 | GET http://192.168.1.5:5000/static/js/app.js | Status:200 | Cache:HIT | Size:2335B | Time:0ms | User-Agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:151.0) Gecko/20100101 Firefox/151.0
2026-06-05 11:04:54.384 | 127.0.0.1:62504 | GET http://192.168.1.5:5000/ads/house-rent-popup.js | Status:403 | Cache:MISS | Size:54B | Time:0ms | User-Agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:151.0) Gecko/20100101 Firefox/151.0
2026-06-05 11:04:54.411 | 127.0.0.1:62505 | GET http://192.168.1.5:5000/static/uploads/houses/default-house.svg | Status:200 | Cache:HIT | Size:1089B | Time:0ms | User-Agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:151.0) Gecko/20100101 Firefox/151.0
